,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,tconst,primary_title,original_title,start_year,runtime_minutes,genres
0,26,"Dec 31, 2012",Foodfight!,"$45,000,000",$0,"$73,706",tt0249516,Foodfight!,Foodfight!,2012,91.0,"Action,Animation,Comedy"
1,10,"Aug 18, 1995",Mortal Kombat,"$20,000,000","$70,433,227","$122,133,227",tt0293429,Mortal Kombat,Mortal Kombat,2021,,"Action,Adventure,Fantasy"
2,17,"Mar 22, 2013",On the Road,"$25,000,000","$720,828","$9,313,302",tt0337692,On the Road,On the Road,2012,124.0,"Adventure,Drama,Romance"
3,37,"Dec 25, 2013",The Secret Life of Walter Mitty,"$91,000,000","$58,236,838","$187,861,183",tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama"
4,67,"Sep 19, 2014",A Walk Among the Tombstones,"$28,000,000","$26,017,685","$62,108,587",tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama"
5,34,"Jun 12, 2015",Jurassic World,"$215,000,000","$652,270,625","$1,648,854,864",tt0369610,Jurassic World,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi"
6,16,"Oct 28, 2011",The Rum Diary,"$45,000,000","$13,109,815","$21,544,732",tt0376136,The Rum Diary,The Rum Diary,2011,119.0,"Comedy,Drama"
7,4,"Apr 13, 2012",The Three Stooges,"$30,000,000","$44,338,224","$54,052,249",tt0383010,The Three Stooges,The Three Stooges,2012,92.0,"Comedy,Family"
8,15,"Nov 24, 2010",Tangled,"$260,000,000","$200,821,936","$586,477,240",tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy"
9,14,"Mar 9, 2012",John Carter,"$275,000,000","$73,058,679","$282,778,100",tt0401729,John Carter,John Carter,2012,132.0,"Action,Adventure,Sci-Fi"
10,51,"Jul 30, 2010",Dinner for Schmucks,"$69,000,000","$73,026,337","$86,796,502",tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114.0,Comedy
11,32,"Jun 11, 2010",The A-Team,"$110,000,000","$77,222,099","$177,241,171",tt0429493,The A-Team,The A-Team,2010,117.0,"Action,Adventure,Thriller"
12,81,"Aug 31, 2012",The Possession,"$14,000,000","$49,130,588","$82,925,064",tt0431021,The Possession,The Possession,2012,92.0,"Horror,Mystery,Thriller"
13,31,"Oct 7, 2011",Real Steel,"$110,000,000","$85,463,309","$263,880,341",tt0433035,Real Steel,Real Steel,2011,127.0,"Action,Drama,Family"
14,2,"Aug 15, 2014",The Giver,"$25,000,000","$45,090,374","$66,540,205",tt0435651,The Giver,The Giver,2014,97.0,"Drama,Romance,Sci-Fi"
15,47,"Jun 18, 2010",Toy Story 3,"$200,000,000","$415,004,880","$1,068,879,522",tt0435761,Toy Story 3,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy"
16,24,"Feb 14, 2019",Alita: Battle Angel,"$170,000,000","$85,710,210","$402,976,036",tt0437086,Alita: Battle Angel,Alita: Battle Angel,2019,122.0,"Action,Adventure,Sci-Fi"
17,73,"Nov 9, 2012",Lincoln,"$65,000,000","$182,207,973","$273,346,281",tt0443272,Lincoln,Lincoln,2012,150.0,"Biography,Drama,History"
18,12,"Nov 18, 2016",The History of Love,"$20,000,000",$0,"$476,624",tt0443533,The History of Love,The History of Love,2016,134.0,"Drama,Romance,War"
19,22,"Aug 13, 2010",Scott Pilgrim vs. The World,"$85,000,000","$31,611,316","$48,056,764",tt0446029,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,112.0,"Action,Comedy,Fantasy"
