,id,release_date,movie,tconst,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,year,month,production_budget_2,domestic_gross_2,worldwide_gross_2,genres2,profit_multiple
0,1,2009-12-18,Avatar,tt1775309,Avatar,Abatâ,2011,93.0,Horror,6.1,43,2009,12,425000000,760507625,2776345279,['Horror'],5.532577127058825
1,2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,tt1298650,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,2011,136.0,"Action,Adventure,Fantasy",6.6,447624,2011,5,410600000,241063875,1045663875,"['Action', 'Adventure', 'Fantasy']",1.5466728567949342
2,3,2019-06-07,Dark Phoenix,tt6565702,Dark Phoenix,Dark Phoenix,2019,113.0,"Action,Adventure,Sci-Fi",6.0,24451,2019,6,350000000,42762350,149762350,"['Action', 'Adventure', 'Sci-Fi']",-0.5721075714285714
3,4,2015-05-01,Avengers: Age of Ultron,tt2395427,Avengers: Age of Ultron,Avengers: Age of Ultron,2015,141.0,"Action,Adventure,Sci-Fi",7.3,665594,2015,5,330600000,459005868,1403013963,"['Action', 'Adventure', 'Sci-Fi']",3.2438413883847548
4,7,2018-04-27,Avengers: Infinity War,tt4154756,Avengers: Infinity War,Avengers: Infinity War,2018,149.0,"Action,Adventure,Sci-Fi",8.5,670926,2018,4,300000000,678815482,2048134200,"['Action', 'Adventure', 'Sci-Fi']",5.827114
5,9,2017-11-17,Justice League,tt0974015,Justice League,Justice League,2017,120.0,"Action,Adventure,Fantasy",6.5,329135,2017,11,300000000,229024295,655945209,"['Action', 'Adventure', 'Fantasy']",1.18648403
6,10,2015-11-06,Spectre,tt2379713,Spectre,Spectre,2015,148.0,"Action,Adventure,Thriller",6.8,352504,2015,11,300000000,200074175,879620923,"['Action', 'Adventure', 'Thriller']",1.9320697433333331
7,11,2012-07-20,The Dark Knight Rises,tt1345836,The Dark Knight Rises,The Dark Knight Rises,2012,164.0,"Action,Thriller",8.4,1387769,2012,7,275000000,448139099,1084439099,"['Action', 'Thriller']",2.9434149054545453
8,12,2018-05-25,Solo: A Star Wars Story,tt3778644,Solo: A Star Wars Story,Solo: A Star Wars Story,2018,135.0,"Action,Adventure,Fantasy",7.0,226243,2018,5,275000000,213767512,393151347,"['Action', 'Adventure', 'Fantasy']",0.4296412618181818
9,13,2013-07-02,The Lone Ranger,tt1210819,The Lone Ranger,The Lone Ranger,2013,150.0,"Action,Adventure,Western",6.4,208827,2013,7,275000000,89302115,260002115,"['Action', 'Adventure', 'Western']",-0.05453776363636364
10,14,2012-03-09,John Carter,tt0401729,John Carter,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",6.6,241792,2012,3,275000000,73058679,282778100,"['Action', 'Adventure', 'Sci-Fi']",0.028283999999999997
11,15,2010-11-24,Tangled,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366,2010,11,260000000,200821936,586477240,"['Adventure', 'Animation', 'Comedy']",1.2556816923076923
